team_name,first_name,second_name,web_name,FPL code,FPL_ID,understat_id
Arsenal,Mesut,??zil,??zil,37605,15,499
Arsenal,Nacho,Monreal,Monreal,38411,6,495
Arsenal,Sokratis,Papastathopoulos,Sokratis,39476,5,371
Arsenal,David,Luiz Moreira Marinho,David Luiz,41270,106,1676
Arsenal,Laurent,Koscielny,Koscielny,51507,7,494
Arsenal,Pierre-Emerick,Aubameyang,Aubameyang,54694,11,318
Arsenal,Henrikh,Mkhitaryan,Mkhitaryan,57249,16,317
Arsenal,C??dric,Soares,C??dric,58822,486,847
Arsenal,Alexandre,Lacazette,Lacazette,59966,12,3277
Arsenal,Shkodran,Mustafi,Mustafi,69140,1,1699
Arsenal,Bernd,Leno,Leno,80201,14,181
Arsenal,Carl,Jenkinson,Jenkinson,80254,9,938
Arsenal,Granit,Xhaka,Xhaka,84450,18,204
Arsenal,Pablo,Mar??,Mar??,92371,617,8380
Arsenal,H??ctor,Beller??n,Beller??n,98745,2,492
Arsenal,Emiliano,Mart??nez,Mart??nez,98980,427,4401
Arsenal,Calum,Chambers,Chambers,101184,467,508
Arsenal,Sead,Kolasinac,Kolasinac,111457,3,342
Arsenal,Matt,Macey,Macey,113534,646,NULL
Arsenal,Mohamed,Elneny,Elneny,153256,20,496
Arsenal,Ainsley,Maitland-Niles,Maitland-Niles,154043,4,1750
Arsenal,Rob,Holding,Holding,156074,10,1749
Arsenal,Daniel,Ceballos Fern??ndez,Ceballos,182539,469,2446
Arsenal,Kieran,Tierney,Tierney,192895,515,8089
Arsenal,Nicolas,P??p??,P??p??,195735,488,5656
Arsenal,Lucas,Torreira,Torreira,198849,19,1227
Arsenal,Joseph,Willock,Willock,200089,490,6630
Arsenal,Reiss,Nelson,Nelson,200641,489,6492
Arsenal,Edward,Nketiah,Nketiah,205533,13,6482
Arsenal,Zech,Medley,Medley,209037,636,NULL
Arsenal,Emile,Smith Rowe,Smith Rowe,209289,576,7230
Arsenal,Bukayo,Saka,Saka,223340,541,7322
Arsenal,Tyreece,John-Jules,John-Jules,232233,585,NULL
Arsenal,Matthew,Smith,Smith,232241,647,NULL
Arsenal,Konstantinos,Mavropanos,Mavropanos,233963,8,6722
Arsenal,Matteo,Guendouzi,Guendouzi,242166,21,5759
Arsenal,Gabriel Teodoro,Martinelli Silva,Martinelli,444145,504,7752
Aston Villa,Jos??,Reina,Reina,8432,603,1374
Aston Villa,Tom,Heaton,Heaton,21205,94,1651
Aston Villa,Birkir,Bjarnason,Bjarnason,27770,33,8269
Aston Villa,Ahmed,El Mohamady,El Mohamady,37339,22,1685
Aston Villa,Henri,Lansbury,Lansbury,40564,35,7727
Aston Villa,James,Chester,Chester,43252,23,NULL
Aston Villa,Neil,Taylor,Taylor,47390,24,710
Aston Villa,Jonathan,Kodjia,Kodjia,54764,26,7725
Aston Villa,Daniel,Drinkwater,Drinkwater,61603,120,752
Aston Villa,Jed,Steer,Steer,79852,429,4475
Aston Villa,Borja,Gonz??lez Tom??s,Bast??n,83091,623,1701
Aston Villa,Conor,Hourihane,Hourihane,85242,28,7721
Aston Villa,Lovre,Kalinic,Kalinic,88175,474,NULL
Aston Villa,Jos?? Ignacio,Peleteiro Romallo,Jota,89274,36,2132
Aston Villa,??rjan,Nyland,Nyland,98770,27,250
Aston Villa,Bjorn,Engels,Engels,108156,455,7152
Aston Villa,Jack,Grealish,Grealish,114283,29,675
Aston Villa,John,McGinn,McGinn,122806,31,7723
Aston Villa,Kortney,Hause,Hause,123354,25,6859
Aston Villa,Mahmoud Ahmed,Ibrahim Hassan,Tr??z??guet,148508,465,7722
